geoid_tract,cca_num,hh_pct
17031010100,1,1
17031010201,1,1
17031010202,1,1
17031010300,1,1
17031010400,1,1
17031010501,1,1
17031010502,1,1
17031010503,1,1
17031010600,1,1
17031010701,1,1
17031010702,1,1
17031020100,2,1
17031020200,2,1
17031020301,2,1
17031020302,2,1
17031020400,2,1
17031020500,2,1
17031020601,2,1
17031020602,2,1
17031020701,2,1
17031020702,2,1
17031020801,2,1
17031020802,2,1
17031020901,2,1
17031020902,2,1
17031030101,77,1
17031030102,77,1
17031030103,77,1
17031030104,77,1
17031030200,77,1
17031030300,77,1
17031030400,77,1
17031030500,77,1
17031030601,77,1
17031030603,77,1
17031030604,77,1
17031030701,77,1
17031030702,77,1
17031030703,77,1
17031030706,77,1
17031030800,77,1
17031030900,77,1
17031031000,3,1
17031031100,3,1
17031031200,3,1
17031031300,3,1
17031031400,3,1
17031031501,3,1
17031031502,3,1
17031031700,3,1
17031031800,3,1
17031031900,3,1
17031032100,3,1
17031040100,4,1
17031040201,4,1
17031040202,4,1
17031040300,4,1
17031040401,4,1
17031040402,4,1
17031040600,4,1
17031040700,4,1
17031040800,4,1
17031040900,4,1
17031050100,5,1
17031050200,5,1
17031050300,5,1
17031050500,5,1
17031050600,5,1
17031050700,5,1
17031050800,5,1
17031050900,5,1
17031051000,5,1
17031051100,5,1
17031051200,5,1
17031051300,5,1
17031051400,5,1
17031060100,6,1
17031060200,6,1
17031060300,6,1
17031060400,6,1
17031060500,6,1
17031060800,6,1
17031060900,6,1
17031061000,6,1
17031061100,6,1
17031061200,6,1
17031061500,6,1
17031061800,6,1
17031061901,6,1
17031061902,6,1
17031062000,6,1
17031062100,6,1
17031062200,6,1
17031062300,6,1
17031062400,6,1
17031062500,6,1
17031062600,6,1
17031062700,6,1
17031062800,6,1
17031062900,6,1
17031063000,6,1
17031063100,6,1
17031063200,6,1
17031063301,6,1
17031063302,6,1
17031063303,6,1
17031063400,6,1
17031070101,7,1
17031070102,7,1
17031070103,7,1
17031070200,7,1
17031070300,7,1
17031070400,7,1
17031070500,7,1
17031070600,7,1
17031070700,7,1
17031071000,7,1
17031071100,7,1
17031071200,7,1
17031071300,7,1
17031071400,7,1
17031071500,7,1
17031071600,7,1
17031071700,7,1
17031071800,7,1
17031080100,8,1
17031080201,8,1
17031080202,8,1
17031080300,8,1
17031080400,8,1
17031081000,8,1
17031081100,8,1
17031081201,8,1
17031081202,8,1
17031081300,8,1
17031081401,8,1
17031081402,8,1
17031081403,8,1
17031081500,8,1
17031081600,8,1
17031081700,8,1
17031081800,8,1
17031081900,8,1
17031090100,9,1
17031090200,9,1
17031090300,9,1
17031100100,10,1
17031100200,10,1
17031100300,10,1
17031100400,10,1
17031100500,10,1
17031100600,10,1
17031100700,10,1
17031110100,11,1
17031110200,11,1
17031110300,11,1
17031110400,11,1
17031110501,11,1
17031110502,11,1
17031120100,12,1
17031120200,12,1
17031120300,12,1
17031120400,12,1
17031130100,13,1
17031130200,13,1
17031130300,13,1
17031140100,14,1
17031140200,14,1
17031140301,14,1
17031140302,14,1
17031140400,14,1
17031140500,14,1
17031140601,14,1
17031140602,14,1
17031140701,14,1
17031140702,14,1
17031140800,14,1
17031150200,15,1
17031150300,15,1
17031150401,15,1
17031150402,15,1
17031150501,15,1
17031150502,15,1
17031150600,15,1
17031150700,15,1
17031150800,15,1
17031151001,15,1
17031151002,15,1
17031151100,15,1
17031151200,15,1
17031160100,16,1
17031160200,16,1
17031160300,16,1
17031160400,16,1
17031160501,16,1
17031160502,16,1
17031160601,16,1
17031160602,16,1
17031160700,16,1
17031160800,16,1
17031160900,16,1
17031161000,16,1
17031161100,16,1
17031161200,16,1
17031161300,16,1
17031170100,17,1
17031170200,17,1
17031170300,17,1
17031170400,17,1
17031170500,17,1
17031170600,17,1
17031170700,17,1
17031170800,17,1
17031170900,17,1
17031171000,17,1
17031171100,17,1
17031180100,18,1
17031190100,19,1
17031190200,19,1
17031190300,19,1
17031190401,19,1
17031190402,19,1
17031190601,19,1
17031190602,19,1
17031190701,19,1
17031190702,19,1
17031190800,19,1
17031190900,19,1
17031191000,19,1
17031191100,19,1
17031191200,19,1
17031191301,19,1
17031191302,19,1
17031200100,20,1
17031200200,20,1
17031200300,20,1
17031200401,20,1
17031200402,20,1
17031210100,21,1
17031210400,21,1
17031210501,21,1
17031210502,21,1
17031210601,21,1
17031210602,21,1
17031210700,21,1
17031210800,21,1
17031210900,21,1
17031220300,22,1
17031220400,22,1
17031220500,22,1
17031220601,22,1
17031220602,22,1
17031220701,22,1
17031220702,22,1
17031220901,22,1
17031220902,22,1
17031221000,22,1
17031221100,22,1
17031221200,22,1
17031221300,22,1
17031221400,22,1
17031221500,22,1
17031221600,22,1
17031222200,22,1
17031222500,22,1
17031222600,22,1
17031222700,22,1
17031222800,22,1
17031222900,22,1
17031230100,23,1
17031230200,23,1
17031230300,23,1
17031230400,23,1
17031230500,23,1
17031230600,23,1
17031230700,23,1
17031230800,23,1
17031230900,23,1
17031231100,23,1
17031231200,23,1
17031231500,23,1
17031240200,24,1
17031240300,24,1
17031240500,24,1
17031240600,24,1
17031240700,24,1
17031240800,24,1
17031240900,24,1
17031241000,24,1
17031241100,24,1
17031241200,24,1
17031241300,24,1
17031241400,24,1
17031241500,24,1
17031241600,24,1
17031242000,24,1
17031242100,24,1
17031242200,24,1
17031242300,24,1
17031242400,24,1
17031242500,24,1
17031242600,24,1
17031242700,24,1
17031242800,24,1
17031242900,24,1
17031243000,24,1
17031243100,24,1
17031243200,24,1
17031243300,24,1
17031243400,24,1
17031243500,24,1
17031250200,25,1
17031250300,25,1
17031250400,25,1
17031250500,25,1
17031250600,25,1
17031250700,25,1
17031250800,25,1
17031251000,25,1
17031251100,25,1
17031251200,25,1
17031251300,25,1
17031251400,25,1
17031251500,25,1
17031251600,25,1
17031251700,25,1
17031251800,25,1
17031251900,25,1
17031252000,25,1
17031252101,25,1
17031252102,25,1
17031252201,25,1
17031252202,25,1
17031260100,26,1
17031260200,26,1
17031260300,26,1
17031260400,26,1
17031260500,26,1
17031260600,26,1
17031260700,26,1
17031260800,26,1
17031260900,26,1
17031261000,26,1
17031270500,27,1
17031271200,27,1
17031271300,27,1
17031271400,27,1
17031271500,27,1
17031271800,27,1
17031280100,28,1
17031280400,28,1
17031280800,28,1
17031280900,28,1
17031281900,28,1
17031282700,28,1
17031282800,28,1
17031283100,28,1
17031283200,28,1
17031283800,28,1
17031290900,29,1
17031291200,29,1
17031291600,29,1
17031292200,29,1
17031292400,29,1
17031292500,29,1
17031300500,30,1
17031300600,30,1
17031300700,30,1
17031300800,30,1
17031300900,30,1
17031301100,30,1
17031301200,30,1
17031301600,30,1
17031301701,30,1
17031301702,30,1
17031301801,30,1
17031301802,30,1
17031301803,30,1
17031310200,31,1
17031310300,31,1
17031310400,31,1
17031310500,31,1
17031310600,31,1
17031310700,31,1
17031310800,31,1
17031310900,31,1
17031320101,32,1
17031320102,32,1
17031320400,32,1
17031320600,32,1
17031330101,33,1
17031330102,33,1
17031330103,33,1
17031330200,33,1
17031340300,34,1
17031340400,34,1
17031340500,34,1
17031340600,34,1
17031350100,35,1
17031350400,35,1
17031351000,35,1
17031351100,35,1
17031351400,35,1
17031351500,35,1
17031360200,36,1
17031380100,38,1
17031380200,38,1
17031380600,38,1
17031381200,38,1
17031381400,38,1
17031381500,38,1
17031381700,38,1
17031381800,38,1
17031381900,38,1
17031390100,39,1
17031390200,39,1
17031390300,39,1
17031390400,39,1
17031390500,39,1
17031390600,39,1
17031390700,39,1
17031400300,40,1
17031400400,40,1
17031400500,40,1
17031400800,40,1
17031410100,41,1
17031410200,41,1
17031410500,41,1
17031410600,41,1
17031410700,41,1
17031410800,41,1
17031410900,41,1
17031411000,41,1
17031411100,41,1
17031411200,41,1
17031420100,42,1
17031420200,42,1
17031420300,42,1
17031420400,42,1
17031420500,42,1
17031420600,42,1
17031420700,42,1
17031420800,42,1
17031421200,42,1
17031430101,43,1
17031430102,43,1
17031430200,43,1
17031430300,43,1
17031430400,43,1
17031430500,43,1
17031430600,43,1
17031430700,43,1
